No.,Time,Source,Destination,Protocol,Length,Info,RTT
60,10.041440507,10.42.0.250,13.211.139.52,TCP,258,"53522  >  3000 [PSH, ACK] Seq=1 Ack=1 Win=5760 Len=204 [TCP segment of a reassembled PDU]",0.200143587
75,12.893103505,10.42.0.250,13.211.139.52,TCP,258,"53522  >  3000 [PSH, ACK] Seq=214 Ack=393 Win=5368 Len=204 [TCP segment of a reassembled PDU]",0.836554198
83,16.369043738,10.42.0.250,13.211.139.52,TCP,258,"53522  >  3000 [PSH, ACK] Seq=427 Ack=785 Win=4976 Len=204 [TCP segment of a reassembled PDU]",0.188196170
91,19.237553816,10.42.0.250,13.211.139.52,TCP,258,"53522  >  3000 [PSH, ACK] Seq=640 Ack=1177 Win=4584 Len=204 [TCP segment of a reassembled PDU]",0.186336891
99,21.716251537,10.42.0.250,13.211.139.52,TCP,258,"53522  >  3000 [PSH, ACK] Seq=853 Ack=1569 Win=5760 Len=204 [TCP segment of a reassembled PDU]",0.174125806
107,24.176106541,10.42.0.250,13.211.139.52,TCP,258,"53522  >  3000 [PSH, ACK] Seq=1066 Ack=1961 Win=5368 Len=204 [TCP segment of a reassembled PDU]",0.214872591
115,26.732151813,10.42.0.250,13.211.139.52,TCP,258,"53522  >  3000 [PSH, ACK] Seq=1279 Ack=2353 Win=4976 Len=204 [TCP segment of a reassembled PDU]",0.174211901
124,29.682376990,10.42.0.250,13.211.139.52,TCP,258,"53522  >  3000 [PSH, ACK] Seq=1492 Ack=2745 Win=4584 Len=204 [TCP segment of a reassembled PDU]",0.354834616
137,32.555111755,10.42.0.250,13.211.139.52,TCP,258,"53522  >  3000 [PSH, ACK] Seq=1705 Ack=3137 Win=5760 Len=204 [TCP segment of a reassembled PDU]",0.383379698
148,35.219873143,10.42.0.250,13.211.139.52,TCP,259,"53522  >  3000 [PSH, ACK] Seq=1918 Ack=3529 Win=5368 Len=205 [TCP segment of a reassembled PDU]",0.227072685
166,37.898504432,10.42.0.250,13.211.139.52,TCP,259,"53522  >  3000 [PSH, ACK] Seq=2190 Ack=3921 Win=4976 Len=205 [TCP segment of a reassembled PDU]",0.259253058
180,40.747493712,10.42.0.250,13.211.139.52,TCP,259,"53522  >  3000 [PSH, ACK] Seq=2462 Ack=4313 Win=4584 Len=205 [TCP segment of a reassembled PDU]",0.221029846
192,43.728006176,10.42.0.250,13.211.139.52,TCP,259,"53522  >  3000 [PSH, ACK] Seq=2734 Ack=4705 Win=5760 Len=205 [TCP segment of a reassembled PDU]",0.175955323
200,46.475709615,10.42.0.250,13.211.139.52,TCP,259,"53522  >  3000 [PSH, ACK] Seq=3006 Ack=5097 Win=5368 Len=205 [TCP segment of a reassembled PDU]",0.183752366
209,48.955628176,10.42.0.250,13.211.139.52,TCP,259,"53522  >  3000 [PSH, ACK] Seq=3278 Ack=5489 Win=4976 Len=205 [TCP segment of a reassembled PDU]",0.172193248
220,51.394912143,10.42.0.250,13.211.139.52,TCP,259,"53522  >  3000 [PSH, ACK] Seq=3550 Ack=5881 Win=4584 Len=205 [TCP segment of a reassembled PDU]",0.217965821
228,54.071800517,10.42.0.250,13.211.139.52,TCP,259,"53522  >  3000 [PSH, ACK] Seq=3822 Ack=6273 Win=5760 Len=205 [TCP segment of a reassembled PDU]",0.216958359
236,56.823892464,10.42.0.250,13.211.139.52,TCP,259,"53522  >  3000 [PSH, ACK] Seq=4094 Ack=6665 Win=5368 Len=205 [TCP segment of a reassembled PDU]",0.578215422
244,60.402882740,10.42.0.250,13.211.139.52,TCP,259,"53522  >  3000 [PSH, ACK] Seq=4366 Ack=7057 Win=4976 Len=205 [TCP segment of a reassembled PDU]",0.479392023
252,64.101894124,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=4638 Ack=7449 Win=4584 Len=206 [TCP segment of a reassembled PDU]",0.213769661
263,66.972369256,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=4961 Ack=7841 Win=5760 Len=206 [TCP segment of a reassembled PDU]",0.215438469
274,69.439277279,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=5284 Ack=8233 Win=5368 Len=206 [TCP segment of a reassembled PDU]",0.221663651
282,72.093633608,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=5607 Ack=8625 Win=4976 Len=206 [TCP segment of a reassembled PDU]",0.307208337
290,74.957708307,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=5930 Ack=9017 Win=4584 Len=206 [TCP segment of a reassembled PDU]",0.467994708
300,78.236049543,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=6253 Ack=9409 Win=5760 Len=206 [TCP segment of a reassembled PDU]",0.216290669
308,80.904800739,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=6576 Ack=9801 Win=5368 Len=206 [TCP segment of a reassembled PDU]",0.171858763
326,83.553716846,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=6899 Ack=10193 Win=4976 Len=206 [TCP segment of a reassembled PDU]",0.217645646
339,86.223479133,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=7222 Ack=10585 Win=4584 Len=206 [TCP segment of a reassembled PDU]",0.364328152
352,89.498475564,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=7545 Ack=10977 Win=5760 Len=206 [TCP segment of a reassembled PDU]",0.477405571
368,92.572220897,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=7868 Ack=11369 Win=5368 Len=206 [TCP segment of a reassembled PDU]",0.219981416
378,95.241915884,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=8250 Ack=11761 Win=4976 Len=206 [TCP segment of a reassembled PDU]",0.174794482
394,97.691561572,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=8632 Ack=12153 Win=4584 Len=206 [TCP segment of a reassembled PDU]",0.273443149
402,100.351024713,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=9014 Ack=12545 Win=5760 Len=206 [TCP segment of a reassembled PDU]",0.225693466
410,103.066871516,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=9396 Ack=12937 Win=5368 Len=206 [TCP segment of a reassembled PDU]",0.399331975
421,106.292892988,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=9778 Ack=13329 Win=4976 Len=206 [TCP segment of a reassembled PDU]",0.274452661
433,109.153726027,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=10160 Ack=13721 Win=4584 Len=206 [TCP segment of a reassembled PDU]",0.175683678
441,111.632331837,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=10542 Ack=14113 Win=5760 Len=206 [TCP segment of a reassembled PDU]",0.215382711
449,114.292417341,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=10924 Ack=14505 Win=5368 Len=206 [TCP segment of a reassembled PDU]",0.214485277
457,117.142077696,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=11306 Ack=14897 Win=4976 Len=206 [TCP segment of a reassembled PDU]",0.259887952
465,120.015338908,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=11688 Ack=15289 Win=4584 Len=206 [TCP segment of a reassembled PDU]",0.399915691
473,123.091558188,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=12120 Ack=15681 Win=5760 Len=206 [TCP segment of a reassembled PDU]",0.216571797
484,125.772479872,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=12552 Ack=16073 Win=5368 Len=206 [TCP segment of a reassembled PDU]",0.300152490
497,128.622719239,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=12984 Ack=16465 Win=4976 Len=206 [TCP segment of a reassembled PDU]",0.197454852
513,131.693435024,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=13416 Ack=16857 Win=4584 Len=206 [TCP segment of a reassembled PDU]",0.301137468
521,134.564256228,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=13848 Ack=17249 Win=5760 Len=206 [TCP segment of a reassembled PDU]",0.414685654
531,137.632694801,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=14280 Ack=17641 Win=5368 Len=206 [TCP segment of a reassembled PDU]",0.215067100
539,140.312585782,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=14712 Ack=18033 Win=4976 Len=206 [TCP segment of a reassembled PDU]",0.178248745
551,143.062536698,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=15144 Ack=18425 Win=4584 Len=206 [TCP segment of a reassembled PDU]",0.173118247
560,145.652776279,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=15576 Ack=18817 Win=5760 Len=206 [TCP segment of a reassembled PDU]",0.178602880
571,148.492281973,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=16008 Ack=19209 Win=5368 Len=206 [TCP segment of a reassembled PDU]",0.401352502
579,151.563680630,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=16500 Ack=19601 Win=4976 Len=206 [TCP segment of a reassembled PDU]",0.342591813
587,154.232487347,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=16992 Ack=19993 Win=4584 Len=206 [TCP segment of a reassembled PDU]",0.215763190
595,156.903372756,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=17484 Ack=20385 Win=5760 Len=206 [TCP segment of a reassembled PDU]",0.215507378
603,159.753529246,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=17976 Ack=20777 Win=5368 Len=206 [TCP segment of a reassembled PDU]",0.213499313
611,162.415953827,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=18468 Ack=21169 Win=4976 Len=206 [TCP segment of a reassembled PDU]",0.186847829
622,165.483692811,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=18960 Ack=21561 Win=4584 Len=206 [TCP segment of a reassembled PDU]",0.407057963
633,168.763610874,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=19452 Ack=21953 Win=5760 Len=206 [TCP segment of a reassembled PDU]",0.215139652
643,171.434288805,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=19944 Ack=22345 Win=5368 Len=206 [TCP segment of a reassembled PDU]",0.216806566
657,174.095071465,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=20436 Ack=22737 Win=4976 Len=206 [TCP segment of a reassembled PDU]",0.214914934
673,176.755209362,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=20928 Ack=23129 Win=4584 Len=206 [TCP segment of a reassembled PDU]",0.238678537
683,179.624985562,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=21470 Ack=23521 Win=5760 Len=206 [TCP segment of a reassembled PDU]",0.352469704
693,182.495022285,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=22012 Ack=23913 Win=5368 Len=206 [TCP segment of a reassembled PDU]",0.257436660
706,185.466027362,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=22554 Ack=24305 Win=4976 Len=206 [TCP segment of a reassembled PDU]",0.269518798
721,188.437027091,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=23096 Ack=24697 Win=4584 Len=206 [TCP segment of a reassembled PDU]",0.175181249
729,190.907909707,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=23638 Ack=25089 Win=5760 Len=206 [TCP segment of a reassembled PDU]",0.269736930
737,193.967178799,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=24180 Ack=25481 Win=5368 Len=206 [TCP segment of a reassembled PDU]",0.624973209
745,197.247397408,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=24722 Ack=25873 Win=4976 Len=206 [TCP segment of a reassembled PDU]",0.218890393
753,199.927426733,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=25264 Ack=26265 Win=4584 Len=206 [TCP segment of a reassembled PDU]",0.176491615
761,202.778490186,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=25806 Ack=26657 Win=5760 Len=206 [TCP segment of a reassembled PDU]",0.173917191
770,205.439505302,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=26348 Ack=27049 Win=5368 Len=206 [TCP segment of a reassembled PDU]",0.220568140
781,208.100588741,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=26951 Ack=27441 Win=4976 Len=206 [TCP segment of a reassembled PDU]",0.355177050
789,211.370628822,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=27554 Ack=27833 Win=4584 Len=206 [TCP segment of a reassembled PDU]",0.437213105
800,214.241719616,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=28157 Ack=28225 Win=5760 Len=206 [TCP segment of a reassembled PDU]",0.226639092
817,217.111808317,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=28760 Ack=28617 Win=5368 Len=206 [TCP segment of a reassembled PDU]",0.219107472
833,219.795490198,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=29363 Ack=29009 Win=4976 Len=206 [TCP segment of a reassembled PDU]",0.175545634
841,222.476891918,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=29966 Ack=29401 Win=4584 Len=206 [TCP segment of a reassembled PDU]",0.371797591
856,225.926139067,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=30569 Ack=29793 Win=5760 Len=206 [TCP segment of a reassembled PDU]",0.434177834
867,228.994107112,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=31172 Ack=30185 Win=5368 Len=206 [TCP segment of a reassembled PDU]",0.215683696
877,231.655190587,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=31775 Ack=30577 Win=4976 Len=206 [TCP segment of a reassembled PDU]",0.248343427
885,234.325982844,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=32378 Ack=30969 Win=4584 Len=206 [TCP segment of a reassembled PDU]",0.175260602
894,236.996308019,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=33031 Ack=31361 Win=5760 Len=206 [TCP segment of a reassembled PDU]",0.404090341
904,240.057383675,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=33684 Ack=31753 Win=5368 Len=206 [TCP segment of a reassembled PDU]",0.360069917
912,243.538531994,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=34337 Ack=32145 Win=4976 Len=206 [TCP segment of a reassembled PDU]",0.214944269
923,246.610487725,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=34990 Ack=32537 Win=4584 Len=206 [TCP segment of a reassembled PDU]",0.401066445
934,249.702526091,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=35643 Ack=32929 Win=5760 Len=206 [TCP segment of a reassembled PDU]",0.244699893
942,252.443637947,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=36296 Ack=33321 Win=5368 Len=206 [TCP segment of a reassembled PDU]",0.399646253
950,255.415600946,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=36949 Ack=33713 Win=4976 Len=206 [TCP segment of a reassembled PDU]",0.462905155
958,258.487831521,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=37602 Ack=34105 Win=4584 Len=206 [TCP segment of a reassembled PDU]",0.214467990
966,261.160239962,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=38255 Ack=34497 Win=5760 Len=206 [TCP segment of a reassembled PDU]",0.214595607
980,263.831944003,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=38908 Ack=34889 Win=5368 Len=206 [TCP segment of a reassembled PDU]",0.174658164
989,266.585245708,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=39623 Ack=35281 Win=4976 Len=206 [TCP segment of a reassembled PDU]",0.407341769
1000,269.545021693,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=40338 Ack=35673 Win=4584 Len=206 [TCP segment of a reassembled PDU]",0.193311921
1010,272.617166875,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=41053 Ack=36065 Win=5760 Len=206 [TCP segment of a reassembled PDU]",0.214150924
1026,275.298239401,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=41768 Ack=36457 Win=5368 Len=206 [TCP segment of a reassembled PDU]",0.214669237
1034,278.059258777,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=42483 Ack=36849 Win=4976 Len=206 [TCP segment of a reassembled PDU]",0.284302780
1042,280.812030407,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=43198 Ack=37241 Win=4584 Len=206 [TCP segment of a reassembled PDU]",0.215036320
1050,283.782345351,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=43913 Ack=37633 Win=5760 Len=206 [TCP segment of a reassembled PDU]",0.385931874
1061,286.754407224,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=44628 Ack=38025 Win=5368 Len=206 [TCP segment of a reassembled PDU]",0.356514037
1072,289.415462916,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=45343 Ack=38417 Win=4976 Len=206 [TCP segment of a reassembled PDU]",0.214812594
1080,292.076855380,10.42.0.250,13.211.139.52,TCP,260,"53522  >  3000 [PSH, ACK] Seq=46058 Ack=38809 Win=4584 Len=206 [TCP segment of a reassembled PDU]",0.216405656
