No.,Time,Source,Destination,Protocol,Length,Info,RTT
66,10.877181036,10.42.0.250,54.253.71.217,TLSv1.2,105,Application Data,0.304598932
80,14.355495885,10.42.0.250,54.253.71.217,TLSv1.2,105,Application Data,0.223809483
88,17.223870378,10.42.0.250,54.253.71.217,TLSv1.2,105,Application Data,0.217481644
97,19.702345870,10.42.0.250,54.253.71.217,TLSv1.2,105,Application Data,0.178551288
104,22.151172778,10.42.0.250,54.253.71.217,TLSv1.2,105,Application Data,0.173479574
112,24.718745895,10.42.0.250,54.253.71.217,TLSv1.2,105,Application Data,0.178185118
120,27.667815533,10.42.0.250,54.253.71.217,TLSv1.2,105,Application Data,0.377683376
135,30.538262302,10.42.0.250,54.253.71.217,TLSv1.2,105,Application Data,0.317564900
144,33.206430778,10.42.0.250,54.253.71.217,TLSv1.2,105,Application Data,0.176682046
155,35.886942767,10.42.0.250,54.253.71.217,TLSv1.2,163,Application Data,0.174266333
171,38.734310814,10.42.0.250,54.253.71.217,TLSv1.2,163,Application Data,0.236776625
186,41.704383533,10.42.0.250,54.253.71.217,TLSv1.2,163,Application Data,0.552904301
197,44.462335922,10.42.0.250,54.253.71.217,TLSv1.2,163,Application Data,0.173525963
205,46.941334699,10.42.0.250,54.253.71.217,TLSv1.2,163,Application Data,0.175458250
217,49.381854061,10.42.0.250,54.253.71.217,TLSv1.2,163,Application Data,0.213376912
226,52.051762125,10.42.0.250,54.253.71.217,TLSv1.2,163,Application Data,0.174561946
233,54.830247998,10.42.0.250,54.253.71.217,TLSv1.2,163,Application Data,0.214941164
241,58.387671782,10.42.0.250,54.253.71.217,TLSv1.2,163,Application Data,0.331501247
249,62.087288215,10.42.0.250,54.253.71.217,TLSv1.2,163,Application Data,0.171811048
258,64.945562530,10.42.0.250,54.253.71.217,TLSv1.2,214,Application Data,0.171404516
271,67.415105516,10.42.0.250,54.253.71.217,TLSv1.2,214,Application Data,0.213941894
279,70.065122211,10.42.0.250,54.253.71.217,TLSv1.2,214,Application Data,0.172174142
287,72.933665353,10.42.0.250,54.253.71.217,TLSv1.2,214,Application Data,0.353208687
298,76.211778785,10.42.0.250,54.253.71.217,TLSv1.2,214,Application Data,0.335724454
305,78.883966541,10.42.0.250,54.253.71.217,TLSv1.2,214,Application Data,0.173425533
320,81.530198002,10.42.0.250,54.253.71.217,TLSv1.2,214,Application Data,0.174404316
331,84.201033300,10.42.0.250,54.253.71.217,TLSv1.2,214,Application Data,0.172790296
350,87.469320346,10.42.0.250,54.253.71.217,TLSv1.2,214,Application Data,0.370566934
361,90.548467426,10.42.0.250,54.253.71.217,TLSv1.2,214,Application Data,0.353839155
373,93.217658857,10.42.0.250,54.253.71.217,TLSv1.2,273,Application Data,0.180735489
388,95.667648006,10.42.0.250,54.253.71.217,TLSv1.2,273,Application Data,0.172892153
400,98.327288143,10.42.0.250,54.253.71.217,TLSv1.2,273,Application Data,0.174171592
407,101.008180603,10.42.0.250,54.253.71.217,TLSv1.2,273,Application Data,0.244444862
416,104.266845461,10.42.0.250,54.253.71.217,TLSv1.2,273,Application Data,0.308425798
430,107.128217833,10.42.0.250,54.253.71.217,TLSv1.2,273,Application Data,0.215955316
439,109.608538009,10.42.0.250,54.253.71.217,TLSv1.2,273,Application Data,0.174382611
446,112.268048747,10.42.0.250,54.253.71.217,TLSv1.2,273,Application Data,0.175725906
