No.,Time,Source,Destination,Protocol,Length,Info,RTT
63,10.24770435,10.42.0.250,13.211.139.52,HTTP/JSON,63,"POST /data HTTP/1.1 , JavaScript Object Notation (application/json)",
64,10.42095871,13.211.139.52,10.42.0.250,TCP,54,3000  >  53522 [ACK] Seq=1 Ack=214 Win=62514 Len=0,0.173254359
65,10.80705551,13.211.139.52,10.42.0.250,HTTP/JSON,446,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)",
67,10.99813057,10.42.0.250,13.211.139.52,TCP,54,53522  >  3000 [ACK] Seq=214 Ack=393 Win=5368 Len=0,0.191075055
68,11.18177997,54.253.71.217,10.42.0.250,TCP,54,8883  >  53521 [ACK] Seq=5606 Ack=1713 Win=30660 Len=0,0.304598932
72,12.40816353,13.237.245.123,10.42.0.250,TCP,54,"8883  >  64424 [FIN, ACK] Seq=8 Ack=1 Win=45552 Len=0",
73,12.49593295,10.42.0.250,13.237.245.123,TCP,54,"64424  >  8883 [RST, ACK] Seq=1 Ack=8 Win=32790 Len=0",0.087788414
74,12.49655054,10.42.0.250,13.237.245.123,TCP,54,"64424  >  8883 [RST, ACK] Seq=1 Ack=9 Win=32790 Len=0",0.088387018
75,12.89310351,10.42.0.250,13.211.139.52,TCP,258,"53522  >  3000 [PSH, ACK] Seq=214 Ack=393 Win=5368 Len=204 [TCP segment of a reassembled PDU]",
76,13.7296577,13.211.139.52,10.42.0.250,TCP,54,3000  >  53522 [ACK] Seq=393 Ack=418 Win=62310 Len=0,0.836554198
77,13.92953558,10.42.0.250,13.211.139.52,HTTP/JSON,63,"POST /data HTTP/1.1 , JavaScript Object Notation (application/json)",
78,14.17034159,13.211.139.52,10.42.0.250,TCP,54,3000  >  53522 [ACK] Seq=393 Ack=427 Win=62301 Len=0,0.240806011
79,14.17036291,13.211.139.52,10.42.0.250,HTTP/JSON,446,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)",
81,14.5027713,10.42.0.250,13.211.139.52,TCP,54,53522  >  3000 [ACK] Seq=427 Ack=785 Win=4976 Len=0,0.332408396
82,14.57930537,54.253.71.217,10.42.0.250,TCP,54,8883  >  53521 [ACK] Seq=5606 Ack=1764 Win=30660 Len=0,0.223809483
83,16.36904374,10.42.0.250,13.211.139.52,TCP,258,"53522  >  3000 [PSH, ACK] Seq=427 Ack=785 Win=4976 Len=204 [TCP segment of a reassembled PDU]",
84,16.55723991,13.211.139.52,10.42.0.250,TCP,54,3000  >  53522 [ACK] Seq=785 Ack=631 Win=62097 Len=0,0.18819617
85,16.59191928,10.42.0.250,13.211.139.52,HTTP/JSON,63,"POST /data HTTP/1.1 , JavaScript Object Notation (application/json)",
86,17.06591596,13.211.139.52,10.42.0.250,TCP,54,3000  >  53522 [ACK] Seq=785 Ack=640 Win=62088 Len=0,0.47399668
87,17.10274139,13.211.139.52,10.42.0.250,HTTP/JSON,446,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)",
