"No.","Time","Source","Destination","Protocol","Length","Info","RTT"
"1","0.000000000","fe80::4c26:ee57:f446:ad99","ff02::2","ICMPv6","62","Router Solicitation",""
"2","0.913659290","10.42.0.1","224.0.0.251","MDNS","183","Standard query 0x0000 PTR _nfs._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question PTR _ipps._tcp.local, ""QM"" question PTR _ftp._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question",""
"3","0.913820470","fe80::4c26:ee57:f446:ad99","ff02::fb","MDNS","203","Standard query 0x0000 PTR _nfs._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question PTR _ipps._tcp.local, ""QM"" question PTR _ftp._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question",""
"4","5.717286852","08:d1:f9:ca:10:98","Broadcast","XID","20","Basic Format; Type 1 LLC (Class I LLC); Window Size 0",""
"5","6.214173605","0.0.0.0","255.255.255.255","DHCP","350","DHCP Discover - Transaction ID 0x2809c9a8",""
"6","6.214202859","0.0.0.0","255.255.255.255","DHCP","350","DHCP Discover - Transaction ID 0x2809c9a8",""
"7","6.214567173","10.42.0.1","10.42.0.250","DHCP","342","DHCP Offer    - Transaction ID 0x2809c9a8",""
"8","6.216691180","0.0.0.0","255.255.255.255","DHCP","350","DHCP Request  - Transaction ID 0x2809c9a8",""
"9","6.216709990","0.0.0.0","255.255.255.255","DHCP","350","DHCP Request  - Transaction ID 0x2809c9a8",""
"10","6.220906014","10.42.0.1","10.42.0.250","DHCP","342","DHCP ACK      - Transaction ID 0x2809c9a8",""
"11","6.222335507","08:d1:f9:ca:10:98","Broadcast","ARP","42","ARP Announcement for 10.42.0.250",""
"12","6.222351165","08:d1:f9:ca:10:98","Broadcast","ARP","42","ARP Announcement for 10.42.0.250",""
"13","7.577990692","08:d1:f9:ca:10:98","Broadcast","ARP","42","Who has 10.42.0.1? Tell 10.42.0.250",""
"14","7.578020745","08:d1:f9:ca:10:98","Broadcast","ARP","42","Who has 10.42.0.1? Tell 10.42.0.250",""
